,WT2D,WT2D.1,WT2D.2,WT2D.3,WT2D.4,WT2D.5,WT2D.6,WT2D.7,WT2D.8,WT2D.9,WT2D.10,WT2D.11,WT2D.12,WT2D.13,WT2D.14,WT2D.15,WT2D.16,WT2D.17,WT2D.18,WT2D.19,WT2D.20,WT2D.21,WT2D.22,WT2D.23,WT2D.24,WT2D.25,WT2D.26,WT2D.27,WT2D.28,WT2D.29,WT2D.30,WT2D.31,WT2D.32,WT2D.33,WT2D.34,WT2D.35,WT2D.36,WT2D.37,WT2D.38,WT2D.39,WT2D.40,WT2D.41,WT2D.42,WT2D.43,WT2D.44,WT2D.45,WT2D.46,WT2D.47,WT2D.48,WT2D.49,WT2D.50,WT2D.51,WT2D.52,WT2D.53,WT2D.54,WT2D.55,WT2D.56,WT2D.57,WT2D.58,WT2D.59,WT2D.60,WT2D.61,WT2D.62,WT2D.63,WT2D.64,WT2D.65,WT2D.66,WT2D.67,WT2D.68,WT2D.69,WT2D.70,WT2D.71,WT2D.72,WT2D.73,WT2D.74,WT2D.75,WT2D.76,WT2D.77,WT2D.78,WT2D.79,WT2D.80,WT2D.81,WT2D.82,WT2D.83,WT2D.84,WT2D.85,WT2D.86,WT2D.87,WT2D.88,WT2D.89,WT2D.90,WT2D.91,WT2D.92,WT2D.93,WT2D.94,WT2D.95
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_methylpentosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004716,0,0,0,0,9.09E-05,0,0,0,0,0.0002345,0,0,0,0,0,0,0,0.000485,0,0.0001525,6.97E-05,0,0,0,2.57E-05,0,0,0,0,5.30E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78E-05,0.0005533,0,0,0,0.020042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001594,0,0,0,0,0,0,0,0,0,0,0,8.09E-05,0,0.010177,0,0,0,0,3.17E-05,0,0,0,0,0,0.009374001,0,0,0,0.0009971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002224,0,0,0,3.80E-06,0,0.0009267,0,0,0,0,0,0,0,0.001621701,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003488,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_scindens,0,0,0,0,0,0,0,0,0,3.69E-05,0,0,3.78E-05,0,0.00013,0,0,0,0,0.0002472,0,6.91E-05,0,0,4.57E-05,0,0,0,0,0,0,0,0,0,1.12E-05,0,0,0,0,0,4.95E-05,0,1.22E-05,0.0001888,0,0,7.03E-05,0,8.29E-05,1.58E-05,0,4.60E-05,0,0,0,0,0,0,0,3.89E-05,0,0,0,0,1.27E-05,1.94E-05,0,0,2.49E-05,0,0,2.40E-05,0,0,2.50E-06,0,0,0.0001829,3.48E-05,0,6.20E-06,0,0,0,2.78E-05,0,0,2.06E-05,0,6.11E-05,0,0,0,0,1.11E-05,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_HGF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003838501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_KLE_1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003719499,0,0,0,0,0.005165902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50,0,0.022429998,0,0,0,0,0,0,0,0.131657887,0.046185858,0.007724799,0,0,0,0,0,0.031284287,0.133431367,0,0,0,0,0,0,0.022763605,0.0403335,0,0,0,0,0,0,0,0.007951501,0,0.013483199,0,0,0,0,0,0,0,0.088032326,0,0,0,0,0,0.0156454,0,0,0.019218106,0.061055888,0,0.0173891,0.04942921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086080123,0,0,0,0.118755288,0,0,0,0,0,0,0,0,0,0,0,0,0.078961832,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_symbiosum,0,0,0,0,0,0,0,0,7.50E-05,0,0.0002585,0,0,0,0.0001192,0,0.0005395,0,0,5.60E-06,0,0.0004888,6.37E-05,8.60E-06,0.0007408,0,0,0.0002138,0,0,0,7.25E-05,0.0003173,0,0,7.22E-05,0,0,0,0.0002669,4.75E-05,0.0004442,0,0.0003667,0,0,0.005061102,0,0.003017201,0,0,0,0,0,0,9.82E-05,0,0,0,0.0001475,9.66E-05,5.73E-05,0,0,8.44E-05,0,0.0001855,0,0.0001674,0,0,0,0,0,0.0030541,3.10E-06,0,0,0,0,0.0007226,0,0,0,7.63E-05,9.54E-05,0,0,3.70E-05,0,6.37E-05,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus|s__Anaerococcus_lactolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus|s__Anaerococcus_obesiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus|s__Anaerococcus_prevotii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24E-05,0,0,0,2.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus|s__Anaerococcus_tetradius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus|s__Anaerococcus_vaginalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia|s__Finegoldia_magna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_unclassified,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63E-05,0,0,0,0,0,0,0,0,1.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62E-05,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus|s__Peptoniphilus_harei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0,0,0,5.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus|s__Peptoniphilus_lacrimalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78E-05,0,0,0,0,0,0,0,0,1.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_noname|s__Eubacterium_infirmum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified,0,4.37E-05,0,0,0,5.22E-05,0,0,2.13E-05,0,0,4.56E-05,0,0,0,2.55E-05,6.28E-05,0,5.99E-05,0,0,2.63E-05,0,3.46E-05,0.0001232,0,0,0,0,0,0,3.49E-05,4.55E-05,0.0001684,3.46E-05,0,0,0,2.96E-05,4.03E-05,0,2.44E-05,0,0,7.15E-05,0,0,0,0,0,0,3.62E-05,5.27E-05,0,0,0,0,0,0,0,0,4.57E-05,0,2.40E-05,0.0001047,3.11E-05,4.78E-05,5.32E-05,0,4.15E-05,2.39E-05,0,0,0,0,0,0,0,0,0,0,9.55E-05,0,3.88E-05,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus,0,0,0,0,0,0,0,0,0,0,0,0.012844799,0,0.016267302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024085,0,0,0,0,0,8.16E-05,0,0,0,0,0.0024457,0,0,0,0.0936028,0,0,0.011159398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037009793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA,0,0,0,0,0,0,4.70E-06,0,0,0,0.0001765,0,0,0,4.08E-05,0,1.77E-05,0,0,0,0,0.0004058,0,0,0.000448,0,0,0,0,0.0002207,0,0,0.0001709,0,0,6.07E-05,0,0,0,0,5.28E-05,2.93E-05,5.02E-05,0,1.78E-05,0,0.001423,0,0.0002952,0,1.54E-05,0,0,0,0,0,0,0,0,0,0.0002192,3.85E-05,3.70E-06,0,0,0,0.0001322,0,0,0,1.93E-05,0.0008772,0,0,0.000718,0,0,0,0,0,0,0.0002565,0,0,3.10E-06,0.0012027,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii,0,0.0001317,0,0,0,0,0,0,0,1.07E-05,0,0,0,0,0,0,0,0,0,0,0.0001297,6.18E-05,6.71E-05,7.22E-05,0,0,0,0,0,0.002131,0,0,0.0013709,0,0,1.63E-05,0,0,0,0,0.0001423,7.89E-05,0,9.17E-05,0.0002183,0,0.0003579,0,1.76E-05,0.0001594,0,3.82E-05,9.30E-06,0,0,0,0,0,0,6.04E-05,0.001019,0.0003463,0,0,0,9.99E-05,4.54E-05,0,0,0,4.53E-05,0,0.0002446,0,0.0036026,0,0,8.00E-06,0,0,0,0,2.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus,0,0.0002176,0,4.99E-05,8.72E-05,0,0.0001523,2.63E-05,0,2.25E-05,0.000207,0.0003289,9.63E-05,1.24E-05,7.05E-05,0.0001245,0,0,2.21E-05,0,0,0,0,0,2.35E-05,0.0003813,9.87E-05,9.43E-05,0.0003628,0.0004969,0,0,0,0,2.64E-05,5.00E-05,0,0,1.18E-05,0,0.0001836,9.40E-06,5.80E-06,0.0006298,7.08E-05,8.95E-05,5.52E-05,0.0001407,0,0.0003197,3.44E-05,7.40E-05,5.00E-06,0,0,0,5.40E-06,0.0001579,0,0.0001318,3.30E-05,8.20E-05,0,0,5.14E-05,0.0002125,0,0,0,0.0002509,0,0,0.0002493,0.0002353,0,0,0.0001452,8.30E-06,0,0,5.75E-05,2.74E-05,0.0002405,0,4.24E-05,0,0,0,2.03E-05,0,0.0001317,0,1.75E-05,0.0001592,0.0001794,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis,0,0,0,0,0,0,0,0,0,0,9.50E-06,0,0,0,0.0002854,0,0,0,0,5.23E-05,0,0,0,0,0,0,0,0.0004265,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76E-05,7.61E-05,0.0001039,0,0,0,0,0.000253,0,0,0,0,0,0,0,0,0,3.90E-05,0,0,0,0,0,0,0.0006896,0.0001032,0,9.55E-05,0,0,0,0,0,0.0001347,0.0002435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_brachy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90E-06,0,0,0,0,0,0,0,0,9.40E-06,6.80E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,0.013756999,0.012911499,0.005066498,0.012883008,0.0030531,0.069007407,0.011929301,0.0006588,0.004070301,0.019979098,0.006475394,0.014612099,0.00344,2.97E-05,0.000126,0.021184913,0.0003804,0.028510889,0.008383704,0.0008893,0.0097895,0,0.0259559,0.0018495,0.0001014,0.009206002,0.0053686,0.00205,0.0015853,0.0013592,0.033256403,2.73E-05,0.003527301,0.025898287,0.0039799,0.011588103,0.019489498,0.001712,0.007525303,0.014581801,0.019860098,0.023729495,0.027951111,0.003549,0.025694308,0.006020999,0,0.027035595,0.0004045,0.0036851,0.0023429,0.0077017,0.002007,0.002670301,0.003275799,0.049359685,0.0605479,0.005439701,0.0075375,0.0049318,0.046932691,0.0027226,0.017192895,0.0460335,0.008263898,0.016605993,0,0.0008789,0.0002665,0.020204894,0.0173106,0.0005257,0.003254499,0.0034635,0,0,0.041307696,0.0003097,0.0016792,0.001021199,0.0005769,0.042694496,0.006247201,0.015155997,0.003950798,0,0.001548,0.024819802,0.011307907,0.021657904,0.033973507,0.0035922,0.076762,0.015773705,0.0008524,0.000251
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,0.021976098,0.018309898,0.012807496,0.009528006,0.007716399,0.024432702,0.022902802,0.008368298,0.016886403,0.007564399,0.020930081,0.013915799,0.012476901,0.0014027,0.05023847,0.009626106,0.008616199,0.008212597,0.048743224,0.0623563,0.0501975,0.0150388,0.0214207,0.05122861,0.013561297,0.009347202,0.0112613,0.043230196,0.037106307,0.0469311,0.026792703,0.023835705,0.05183191,0.013953293,0.014709201,0.014120204,0.006426999,0.0282449,0.007160103,0.068274407,0.031036497,0.035332693,0.020395008,0.0171553,0.055729017,0.007147599,0.009417303,0.012704097,0.008189902,0.0169402,0.0296301,0.0100277,0.017945596,0.009581803,0.028085194,0.042394087,0.0066769,0.014587303,0.0383955,0.023387102,0.026749495,0.034835303,0.015742095,0.0046308,0.027825294,0.010195696,0.022855995,0.021128004,0.046252181,0.037163989,0.0244744,0.047125881,0.035534793,0.0044053,0.0061214,0.0366619,0.006045299,0.010346991,0.017151997,0.031810984,0.0577819,0.031566697,0.011405601,0.015950397,0.024808488,0.006012701,0.035404093,0.016579802,0.020323112,0.020942304,0.007624702,0.018460198,0.0195587,0.009376103,0.006761703,0.011329805
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum,0,0,0,0,0,0,0,0,0,0,7.51E-05,0,0,0,0,0,0,0,1.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45E-05,0,0,0,0,8.01E-05,0.0001079,0.0001031,0,0,0,0,0,0,5.07E-05,0,0.0005911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27E-05,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,0.0038358,0.005869999,0.003841499,0.001508501,0.0042184,0.011825201,0.0030716,0.000386,0.005800301,0.0027838,0.001153799,0.0029754,0.0006734,0.0022729,0.005577997,0.001520301,0.0003779,0.000942,0.0007845,0.0004795,0,0,7.99E-05,0.021338404,0.010144998,0.004289701,0.0030723,0.020487898,0.0010795,0.0138159,0.0032645,0.006838501,0,0.009657195,3.60E-05,0,0.0013176,0.0065841,0.001713801,0.006935401,0.006344099,0.0001758,0.008767504,0.0004941,0.014959904,0.004795,0,0.006744299,0,0.0130878,0,0.0047788,0.011278698,0.0003422,0.003714399,0.0015885,0.0074423,0.0013977,0.0086082,0.007959301,0.004092199,0.010517401,0.005349198,0.001664,0.005130599,0.002032699,0.005562199,0.0009121,0.004652298,0.0015457,0.0074285,0,0.007988998,1.24E-05,0,0.0046462,0.0008636,0.005847195,0.0009722,0.009786895,0.0021768,0.0037936,0.000136,0.006701699,0.0008638,0.012933801,0,0.0038353,0,0.0009683,0.003446501,0.0028404,0.0031738,0.0005947,0.0004893,0.011731805
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,0.005954599,0.053560595,0.016981595,0.004337703,0.013606799,0.031399803,0.173874417,0.061835188,0.091111118,0.093442591,0.198323222,0.020947598,0.003428,0.0018852,0.306298216,0.129299278,0.043178196,0.059386976,0.065168933,0.0042376,1.77E-05,0.2906565,0.1001856,0.125051825,0.0001084,0.157930132,0.2152856,0.093170891,0.024893605,0.1556158,0.007580301,0.235192047,0.073508015,0.236697982,0.0004149,0.060340118,0.016624198,0.1093931,0.034155314,0.0019471,0.09690139,0.124237875,0.162919165,0.0083182,0.0001448,0.124843488,0.172215652,0.081198184,0.015084905,0.0015608,0.0313815,0.0124119,0.255172949,0.046961514,0.007533298,0.047418986,0.0216876,0.135879827,0.0318004,0.005500701,4.80E-06,0.003156,9.91E-05,0.2246883,0.138076172,3.90E-05,0.344213131,0.042761409,0.144614642,0.097957771,0.0003495,0.097308461,0.043340491,0.016713698,0.1485029,0.0842327,0.005789899,0.022969279,0.021295496,0.098667351,0.0067438,4.96E-05,0.109848011,0.003441999,0.117333541,0.071644307,0.165325967,0.014121401,0.370168022,0,0.009052002,0.192370381,7.83E-05,0.123896237,0.005027002,0.128426651
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum,0.0006678,0.006332899,0.068552479,0.001323401,0.032551497,0.0002137,0.0014082,0,0.022070704,0.004845,0,0.141118886,0.039056204,0.013044901,0.079338152,0.001924801,0.0003458,0.003365999,0,0.0040022,0,0.0004872,0.0014114,0.005822501,0.0004472,0.005508701,0.0016196,0,0.0005259,0.0030396,0.0015674,0.0003364,0,0.0006667,0.0024673,0.0005343,0.030403497,0.0010849,0.017952907,0.0013345,0,0,0.032880213,0.0069881,0,0.0026813,0.014721604,0.146794171,0,0,0.0028107,0.00453,0.0018687,0,0.003106999,0.012988696,4.63E-05,0.003067201,0.0123313,0.048467005,0.003149799,1.88E-05,0.001139,0.0025216,0.008361798,0.015585894,0,0.0011035,0.000178,0.016442695,0.0003391,0.0002055,0.006028199,0.060183994,0.0004888,0.0008922,0.004681,0.0001623,0.016350297,0,0.0032272,0.0045874,0.0020157,0.028030594,0.009575595,0,0.037501992,0.085829409,0.0002288,0.0018864,0.032004306,0.0008312,0.0190068,0.003573201,0.036872415,0.0003214
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_3_1_31,0,0,0,0,0,0,0,0,0,0,0,2.42E-05,0,0,0.003580898,0,0.0015806,0,0,0.0001536,0,0.0006518,0,0,0,0,0,0.005553499,0,0,0,0.0001492,0,0,0,0.003121601,0,0,0,0,0,0,0,0.0018689,0,0,0,0,0,1.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53E-05,0,0,0,0,0,0.00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,0.005433499,0.008452099,0.008183198,0.001012001,0.0006402,0.007878801,0.005533001,0.017889396,0.0001155,0.003401,0.003039997,0.0020152,0.00052,0.0021918,0.001565299,0.004265403,0.0034009,0.003544899,0.003966202,0,0,1.93E-05,3.54E-05,0,0,0.0023173,0.0069597,0,0.0003049,0,0.0001849,0.0020345,7.00E-06,0.006257997,4.09E-05,0,0.0004037,0.011569,0.011527205,0,0.0020942,0.003786299,0.005226602,0.0131528,0.008581803,0.003386,0,0.0016819,0,0.0026466,0.0012175,0.0024521,0.004146499,0.0004055,0.006635299,0.0001237,0.0006438,0.0007256,0.0057177,0.0035541,0.005306999,0.0040489,0.004945999,0.0057578,0.005518799,0.0002419,0.008847598,0.0003,0.001583599,0,0.0008097,0,0.0012496,0.0024409,0,0.0123117,0.0003654,0.010516991,0.000309,0,0.0026688,0.009266099,0.007779601,0.0007007,0.004360398,0,0,0.008519901,0.008262305,0.003134901,0.000192,0.010811499,6.09E-05,0.002568101,5.86E-05,0.006817703
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,0.0008331,0.0002226,0.0001976,0.0002913,0.0043962,0.0040974,0.0013081,1.80E-05,0.0004854,0.0034661,0.0004404,0.000185,0.0011963,7.99E-05,0.004868797,0.000902501,0.0006613,0.0010071,0.001440101,0.0014587,0.0008158,0.000152,0.0002888,0.0010189,0.030127194,0.0006687,0.0059332,0.0001702,0.0009643,0.0001728,0.012542101,0.0017008,0.004376901,0.0008016,0.0005696,0.0001646,0.0024058,0.0023351,0.002213201,0.0007644,0.0009351,0.0008387,0.000878,0.0023711,0.0001613,2.87E-05,0.002228401,0.0004625,0.026525308,0.0024925,0.0019128,0.0003439,2.07E-05,0,0.0011968,0.0003835,0,0.0016664,0.0002012,0.0001275,0.0005227,0.0012247,0.0008553,0.0019825,0.0009492,0.003192399,0.0009461,0.0006933,0.001798499,0.004359999,0.0009861,1.43E-05,0.012284198,0.0003154,0.0029365,0.0035283,0.0005282,0.009502391,0.003914799,0.0002289,6.37E-05,0.0019534,2.66E-05,0.003681099,0.005550297,0.009691101,0.002500099,0.0001522,0.002433001,0.008289702,0.0009645,0.0002673,0.0012179,0.000165,2.94E-05,0.0002533
